FD_call,available_set,FD_response,count,probability
315,"311,312,313,314,315",315,5938,0.9126959729480479
312,"311,312,313,314",314,82,0.1782608695652174
312,"311,312,313",312,132,0.7374301675977654
314,"311,312,313,314",314,936,0.8034334763948497
312,"311,312,313,314,315",312,4884,0.7483910511798958
314,"311,313,314,315",314,1191,0.8185567010309278
314,"311,312,313,314,315",312,1085,0.08267926541187229
312,"311,312,313,315",312,855,0.7148829431438127
314,"311,313,315",313,275,0.6365740740740741
312,"311,312,314,315",312,732,0.7018216682646213
314,"311,312,313,314,315",315,468,0.03566257715461404
311,"311,312,313,314,315",311,5432,0.8527472527472527
311,"312,313,314,315",312,563,0.7162849872773537
314,"311,312,313,314,315",314,10983,0.8369275318143717
312,"311,312,313,315",311,70,0.05852842809364549
312,"312,313,315",312,110,0.7746478873239436
313,"311,312,313,314,315",313,8273,0.8213860206513106
312,"311,313,314,315",313,440,0.3900709219858156
314,"312,313,314,315",312,80,0.10443864229765012
314,"313,314,315",314,147,0.8032786885245902
313,"311,312,313,315",313,1230,0.8395904436860068
314,"311,312,314,315",314,1144,0.8067700987306065
313,"312,313,314,315",313,519,0.7828054298642534
315,"312,313,314,315",315,334,0.915068493150685
311,"311,312,313,314",311,298,0.834733893557423
311,"311,312,313,314,315",313,251,0.03940345368916798
314,"311,314,315",314,383,0.9364303178484108
314,"311,312,313,315",313,485,0.25977504017139796
311,"312,313,314,315",313,186,0.2366412213740458
311,"311,312,314,315",311,543,0.8341013824884793
311,"312,314,315",312,154,0.9166666666666666
313,"312,313,314",313,37,0.7872340425531915
314,"311,312,313,314",313,56,0.048068669527897
314,"311,312,314",314,122,0.8187919463087249
314,"311,312",311,1,0.014705882352941176
314,312,312,8,1.0
314,"311,312,313,315",315,385,0.2062131762185324
313,"311,312,314,315",314,731,0.5504518072289156
313,"311,312,315",312,228,0.912
315,"311,313,314,315",315,377,0.8142548596112311
314,"311,313,314,315",315,111,0.07628865979381444
314,"311,313,314",314,244,0.9037037037037037
311,"311,312,313,315",311,508,0.8341543513957307
311,"312,313,315",312,68,0.7555555555555555
314,"312,313,314,315",314,627,0.8185378590078329
313,"312,313,314,315",312,75,0.11312217194570136
312,"311,312,313,314",312,322,0.7
313,"311,312,313,314",313,482,0.8397212543554007
314,"311,312,313,314,315",313,574,0.04373999847595824
315,"311,312,313,314",314,305,0.800524934383202
313,"311,312,313",313,118,0.855072463768116
312,"311,313,314,315",314,490,0.43439716312056736
313,"311,312,314,315",312,534,0.40210843373493976
311,"311,312,314,315",312,101,0.15514592933947774
311,"311,314,315",311,210,0.9502262443438914
314,"311,312,314,315",315,55,0.038787023977433006
311,"311,312,313,314,315",312,627,0.09843014128728414
311,"311,313,314,315",311,680,0.8831168831168831
314,"311,312,315",312,299,0.7952127659574468
315,"311,315",315,83,1.0
313,"313,314,315",313,146,0.8295454545454546
312,"311,313,315",315,75,0.20215633423180593
315,"311,312,315",315,138,0.92
315,"311,312,314,315",315,442,0.8893360160965795
314,"311,312,313,314",312,169,0.14506437768240343
313,"311,313",313,73,0.9605263157894737
313,"311,313,314,315",313,825,0.7978723404255319
311,"311,313,315",311,169,0.9135135135135135
314,"311,312,314,315",312,219,0.15444287729196052
313,"311,312,313,314,315",312,770,0.07644956314535345
314,"311,313,314,315",313,152,0.10446735395189004
315,"311,312,313,315",315,784,0.8990825688073395
315,"311,312,313",312,71,0.9342105263157895
